full-name,tri-code
Atlanta Thrashers,ATL
Hartford Whalers,HFD
Minnesota North Stars,MNS
Quebec Nordiques,QUE
Winnipeg Jets (1979),WIN
Colorado Rockies,CLR
Ottawa Senators (1917),SEN
Hamilton Tigers,HAM
Pittsburgh Pirates,PIR
Philadelphia Quakers,QUA
Detroit Cougars,DCG
Montreal Wanderers,MWN
Quebec Bulldogs,QBD
Montreal Maroons,MMR
New York Americans,NYA
St. Louis Eagles,SLE
Oakland Seals,OAK
Atlanta Flames,AFM
Kansas City Scouts,KCS
Cleveland Barons,CLE
Detroit Falcons,DFL
Brooklyn Americans,BRK
New Jersey Devils,NJD
California Golden Seals,CGS
Toronto Arenas,TAN
Toronto St. Patricks,TSP
NHL,NHL
Detroit Red Wings,DET
Boston Bruins,BOS
Winnipeg Jets,WPG
San Jose Sharks,SJS
Pittsburgh Penguins,PIT
Tampa Bay Lightning,TBL
Philadelphia Flyers,PHI
Toronto Maple Leafs,TOR
Buffalo Sabres,BUF
Carolina Hurricanes,CAR
Arizona Coyotes,ARI
Calgary Flames,CGY
Montréal Canadiens,MTL
Washington Capitals,WSH
Los Angeles Kings,LAK
Vancouver Canucks,VAN
Colorado Avalanche,COL
Nashville Predators,NSH
Anaheim Ducks,ANA
Vegas Golden Knights,VGK
New York Islanders,NYI
Seattle Kraken,SEA
Dallas Stars,DAL
Phoenix Coyotes,PHX
Chicago Blackhawks,CHI
New York Rangers,NYR
Columbus Blue Jackets,CBJ
Florida Panthers,FLA
Edmonton Oilers,EDM
Minnesota Wild,MIN
St. Louis Blues,STL
Ottawa Senators,OTT
